Collection Name,Collection Summary,Family Name,Family Summary,Family Publication Date,Family URL,Document Title,Document URL,Document Content URL,Document Type,Document Content Matches Search Phrase,Geographies,Category,Languages,Source
,,Financial Inclusion and Resilience (FIRE): Leveraging Risk-Tolerant Crowdfunded Capital for Innovative Climate Adaptation,"To strengthen climate resilience of vulnerable communities by increasing their access to risk-tolerant, crowdfunded finance for climate adaptation.",2026-05-21T00:00:00+00:00,https://app.climatepolicyradar.org/document/financial-inclusion-and-resilience-fire-leveraging-risk-tolerant-crowdfunded-capital-for-innovative-climate-adaptation_de8c,Financial Inclusion and Resilience (FIRE): Leveraging Risk-Tolerant Crowdfunded Capital for Innovative Climate Adaptation,https://app.climatepolicyradar.org/documents/financial-inclusion-and-resilience-fire-leveraging-risk-tolerant-crowdfunded-capital-for-innovative-climate-adaptation_6d1b,https://cdn.climatepolicyradar.org/navigator/MDG/2026/financial-inclusion-and-resilience-fire-leveraging-risk-tolerant-crowdfunded-capital-for-innovative-climate-adaptation_4c869a2e26930a986c678194e045aa11.pdf,,n/a,MDG;UGA;XAB,MCF,English,GEF
,,South-south cooperation for strengthening and establishing climate finance units,Strengthen developing country capacity for channelling climate finance by sharing Uganda’s good practices and lessons learned with other African countries and strengthening Uganda’s climate finance unit.,2026-05-04T00:00:00+00:00,https://app.climatepolicyradar.org/document/south-south-cooperation-for-strengthening-and-establishing-climate-finance-units_6f23,South-south cooperation for strengthening and establishing climate finance units,https://app.climatepolicyradar.org/documents/south-south-cooperation-for-strengthening-and-establishing-climate-finance-units_8a4d,https://cdn.climatepolicyradar.org/navigator/UGA/2026/south-south-cooperation-for-strengthening-and-establishing-climate-finance-units_3ef3512f3086966cf5839f48a4d317ef.pdf,,n/a,UGA;XAB,MCF,English,GEF
,,WASH National Adaptation Plan for Uganda (2026-2030),"<p>The plan aims to address climate risks to the water and sanitation sectors in Uganda, by ensuring that infrastructure and governance is resilient to an increased prevalence of extreme rainfall, drought and other weather events. Its core objectives include work on infrastructure and service delivery, water resource and ecosystem resilience, equitable service and promoting climate-resilient behaviour in communities.</p>",2026-04-13T00:00:00+00:00,https://app.climatepolicyradar.org/document/wash-national-adaptation-plan-for-uganda-2026-2030_79f2,WASH National Adaptation Plan for Uganda (2026-2030),https://app.climatepolicyradar.org/documents/wash-national-adaptation-plan-for-uganda-2026-2030_0e6b,https://cdn.climatepolicyradar.org/navigator/UGA/2026/wash-national-adaptation-plan-for-uganda-2026-2030_ec04e3b97e3e0e246d52774f919467e0.pdf,Plan,n/a,UGA,Executive,English,CCLW
,,ASCENT-GREEN: Resilient Energy Access for Inclusive Development,"Eastern and Southern Africa are highly vulnerable to climate change, facing recurrent droughts, floods, heatwaves, and increasingly erratic rainfall that intensify water stress and land degradation. These climate stresses are compounded by rapid population growth, projected to rise from around 749 million in 2023 to nearly 964 million by 2050, placing growing pressure on already overstretched infrastructure. In 2023, around 365 million people lacked access to electricity and 580 million lacked access to clean cooking, severely constraining adaptation, productivity, and health outcomes across the region.

The ASCENT-GREEN project  aims to support climate-vulnerable communities across 21 countries in Eastern and Southern Africa by catalysing private-sector delivery of distributed renewable energy, clean cooking, and productive-use energy. It seeks to increase climate resilience, drive economic development, and reduce emissions across some of the region's most remote and fragile contexts.

Structured around three components, the project will establish a regional energy access financing facility providing affordable lending, results-based financing, and technical assistance, prioritizing rural households, fragile, conflict-affected populations, small and medium-sized enterprises and women-owned enterprises; develop regional de-risking facilities including a risk-sharing facility and a carbon risk mitigation facility to crowd in private capital; and establish a Common Market for Eastern and Southern Africa (COMESA)-led regional platform to coordinate policy, technical assistance, and knowledge sharing across participating countries.

Through financing instruments that address barriers such as affordability, risk perception, and scaling up, the project will mobilise significantly larger private flows and accelerate market transformations, enabling far greater reach. It is expected to directly benefit 28.8 million people and indirectly reach a further 13.8 million, supporting improved access to energy services and enhanced resilience across participating countries.",2026-03-28T00:00:00+00:00,https://app.climatepolicyradar.org/document/ascent-green-resilient-energy-access-for-inclusive-development_2c58,Gender assessment for FP291: ASCENT-GREEN: Resilient Energy Access for Inclusive Development,https://app.climatepolicyradar.org/documents/gender-assessment-for-fp291-ascent-green-resilient-energy-access-for-inclusive-development_5f05,https://cdn.climatepolicyradar.org/navigator/BDI/2026/ascent-green-resilient-energy-access-for-inclusive-development_452875d7dfd079094c0e70ee3cbc0225.pdf,Gender action plan,n/a,BDI;BWA;COD;COM;ERI;ETH;KEN;LSO;MDG;MOZ;MWI;RWA;SOM;SSD;STP;SWZ;TZA;UGA;ZAF;ZMB;ZWE,MCF,English,GCF
,,ASCENT-GREEN: Resilient Energy Access for Inclusive Development,"Eastern and Southern Africa are highly vulnerable to climate change, facing recurrent droughts, floods, heatwaves, and increasingly erratic rainfall that intensify water stress and land degradation. These climate stresses are compounded by rapid population growth, projected to rise from around 749 million in 2023 to nearly 964 million by 2050, placing growing pressure on already overstretched infrastructure. In 2023, around 365 million people lacked access to electricity and 580 million lacked access to clean cooking, severely constraining adaptation, productivity, and health outcomes across the region.

The ASCENT-GREEN project  aims to support climate-vulnerable communities across 21 countries in Eastern and Southern Africa by catalysing private-sector delivery of distributed renewable energy, clean cooking, and productive-use energy. It seeks to increase climate resilience, drive economic development, and reduce emissions across some of the region's most remote and fragile contexts.

Structured around three components, the project will establish a regional energy access financing facility providing affordable lending, results-based financing, and technical assistance, prioritizing rural households, fragile, conflict-affected populations, small and medium-sized enterprises and women-owned enterprises; develop regional de-risking facilities including a risk-sharing facility and a carbon risk mitigation facility to crowd in private capital; and establish a Common Market for Eastern and Southern Africa (COMESA)-led regional platform to coordinate policy, technical assistance, and knowledge sharing across participating countries.

Through financing instruments that address barriers such as affordability, risk perception, and scaling up, the project will mobilise significantly larger private flows and accelerate market transformations, enabling far greater reach. It is expected to directly benefit 28.8 million people and indirectly reach a further 13.8 million, supporting improved access to energy services and enhanced resilience across participating countries.",2026-03-28T00:00:00+00:00,https://app.climatepolicyradar.org/document/ascent-green-resilient-energy-access-for-inclusive-development_2c58,ASCENT-GREEN: Resilient Energy Access for Inclusive Development,https://app.climatepolicyradar.org/documents/ascent-green-resilient-energy-access-for-inclusive-development_dfe7,https://cdn.climatepolicyradar.org/navigator/BDI/2026/ascent-green-resilient-energy-access-for-inclusive-development_df57fd88250d0fecd184062d5fd7d2bb.pdf,Approved funding proposal,n/a,BDI;BWA;COD;COM;ERI;ETH;KEN;LSO;MDG;MOZ;MWI;RWA;SOM;SSD;STP;SWZ;TZA;UGA;ZAF;ZMB;ZWE,MCF,English,GCF
,,ASCENT-GREEN: Resilient Energy Access for Inclusive Development,"Eastern and Southern Africa are highly vulnerable to climate change, facing recurrent droughts, floods, heatwaves, and increasingly erratic rainfall that intensify water stress and land degradation. These climate stresses are compounded by rapid population growth, projected to rise from around 749 million in 2023 to nearly 964 million by 2050, placing growing pressure on already overstretched infrastructure. In 2023, around 365 million people lacked access to electricity and 580 million lacked access to clean cooking, severely constraining adaptation, productivity, and health outcomes across the region.

The ASCENT-GREEN project  aims to support climate-vulnerable communities across 21 countries in Eastern and Southern Africa by catalysing private-sector delivery of distributed renewable energy, clean cooking, and productive-use energy. It seeks to increase climate resilience, drive economic development, and reduce emissions across some of the region's most remote and fragile contexts.

Structured around three components, the project will establish a regional energy access financing facility providing affordable lending, results-based financing, and technical assistance, prioritizing rural households, fragile, conflict-affected populations, small and medium-sized enterprises and women-owned enterprises; develop regional de-risking facilities including a risk-sharing facility and a carbon risk mitigation facility to crowd in private capital; and establish a Common Market for Eastern and Southern Africa (COMESA)-led regional platform to coordinate policy, technical assistance, and knowledge sharing across participating countries.

Through financing instruments that address barriers such as affordability, risk perception, and scaling up, the project will mobilise significantly larger private flows and accelerate market transformations, enabling far greater reach. It is expected to directly benefit 28.8 million people and indirectly reach a further 13.8 million, supporting improved access to energy services and enhanced resilience across participating countries.",2026-03-28T00:00:00+00:00,https://app.climatepolicyradar.org/document/ascent-green-resilient-energy-access-for-inclusive-development_2c58,Gender assessment for FP291: ASCENT-GREEN: Resilient Energy Access for Inclusive Development,https://app.climatepolicyradar.org/documents/gender-assessment-for-fp291-ascent-green-resilient-energy-access-for-inclusive-development_93f9,https://cdn.climatepolicyradar.org/navigator/BDI/2026/ascent-green-resilient-energy-access-for-inclusive-development_6c0184b2be536fa6d7b8261bda98a142.pdf,Gender assessment,n/a,BDI;BWA;COD;COM;ERI;ETH;KEN;LSO;MDG;MOZ;MWI;RWA;SOM;SSD;STP;SWZ;TZA;UGA;ZAF;ZMB;ZWE,MCF,English,GCF
,,Food Securities Fund Accountable Cocoa and Coffee Tranche (FSF ACCT),"Cocoa and coffee are climate-sensitive commodities cultivated by smallholder farmers across Costa Rica, Côte d’Ivoire, the Dominican Republic, Ecuador, Ghana, Guatemala, Nigeria, Peru, Rwanda, and Uganda. They face increasing risks from climate variability, land degradation, and tightening regulatory requirements. Pre-harvest finance remains structurally underprovided, as commercial lenders rarely extend unsecured credit in rural emerging markets, while cooperatives and exporters lack the financial resources to support farmers year-round. Climate finance has typically prioritised large infrastructure programmes rather than value chain operations, leaving a persistent gap.

The FSF ACCT programme scales sustainability-linked working capital and technical assistance for enterprises operating in cocoa and coffee landscapes across the ten countries, building on a strategy tested through the Food Securities Fund (FSF). It provides short-term renewable working capital loans to midstream enterprises sourcing from smallholder farmers, paired with targeted technical assistance on climate-smart practices, traceability, and gender inclusion.

The programme is structured around two components: an investment facility providing working capital loans linked to annual environmental and social due diligence; and a technical assistance facility supporting borrowers across environmental, social, and business resilience themes. Demand-side actors, including large multinational agribusinesses, provide additional risk mitigation through guarantees at the sub-project level.

The programme was developed under GCF's Project-specific Assessment Approach (PSAA).",2026-03-28T00:00:00+00:00,https://app.climatepolicyradar.org/document/food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_7de8,Gender action plan for FP293: Food Securities Fund Accountable Cocoa and Coffee Tranche (FSF ACCT),https://app.climatepolicyradar.org/documents/gender-action-plan-for-fp293-food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_f528,https://cdn.climatepolicyradar.org/navigator/CIV/2026/food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_4949904185f3020062e9434f2a2a4331.pdf,Gender action plan,n/a,CIV;CRI;DOM;ECU;GHA;GTM;NGA;PER;RWA;UGA,MCF,English,GCF
,,Food Securities Fund Accountable Cocoa and Coffee Tranche (FSF ACCT),"Cocoa and coffee are climate-sensitive commodities cultivated by smallholder farmers across Costa Rica, Côte d’Ivoire, the Dominican Republic, Ecuador, Ghana, Guatemala, Nigeria, Peru, Rwanda, and Uganda. They face increasing risks from climate variability, land degradation, and tightening regulatory requirements. Pre-harvest finance remains structurally underprovided, as commercial lenders rarely extend unsecured credit in rural emerging markets, while cooperatives and exporters lack the financial resources to support farmers year-round. Climate finance has typically prioritised large infrastructure programmes rather than value chain operations, leaving a persistent gap.

The FSF ACCT programme scales sustainability-linked working capital and technical assistance for enterprises operating in cocoa and coffee landscapes across the ten countries, building on a strategy tested through the Food Securities Fund (FSF). It provides short-term renewable working capital loans to midstream enterprises sourcing from smallholder farmers, paired with targeted technical assistance on climate-smart practices, traceability, and gender inclusion.

The programme is structured around two components: an investment facility providing working capital loans linked to annual environmental and social due diligence; and a technical assistance facility supporting borrowers across environmental, social, and business resilience themes. Demand-side actors, including large multinational agribusinesses, provide additional risk mitigation through guarantees at the sub-project level.

The programme was developed under GCF's Project-specific Assessment Approach (PSAA).",2026-03-28T00:00:00+00:00,https://app.climatepolicyradar.org/document/food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_7de8,Food Securities Fund Accountable Cocoa and Coffee Tranche (FSF ACCT),https://app.climatepolicyradar.org/documents/food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_0366,https://cdn.climatepolicyradar.org/navigator/CIV/2026/food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_96f40e4216d7dd846358ef1ba74a0dbc.pdf,Approved funding proposal,n/a,CIV;CRI;DOM;ECU;GHA;GTM;NGA;PER;RWA;UGA,MCF,English,GCF
,,Food Securities Fund Accountable Cocoa and Coffee Tranche (FSF ACCT),"Cocoa and coffee are climate-sensitive commodities cultivated by smallholder farmers across Costa Rica, Côte d’Ivoire, the Dominican Republic, Ecuador, Ghana, Guatemala, Nigeria, Peru, Rwanda, and Uganda. They face increasing risks from climate variability, land degradation, and tightening regulatory requirements. Pre-harvest finance remains structurally underprovided, as commercial lenders rarely extend unsecured credit in rural emerging markets, while cooperatives and exporters lack the financial resources to support farmers year-round. Climate finance has typically prioritised large infrastructure programmes rather than value chain operations, leaving a persistent gap.

The FSF ACCT programme scales sustainability-linked working capital and technical assistance for enterprises operating in cocoa and coffee landscapes across the ten countries, building on a strategy tested through the Food Securities Fund (FSF). It provides short-term renewable working capital loans to midstream enterprises sourcing from smallholder farmers, paired with targeted technical assistance on climate-smart practices, traceability, and gender inclusion.

The programme is structured around two components: an investment facility providing working capital loans linked to annual environmental and social due diligence; and a technical assistance facility supporting borrowers across environmental, social, and business resilience themes. Demand-side actors, including large multinational agribusinesses, provide additional risk mitigation through guarantees at the sub-project level.

The programme was developed under GCF's Project-specific Assessment Approach (PSAA).",2026-03-28T00:00:00+00:00,https://app.climatepolicyradar.org/document/food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_7de8,Gender assessment for FP293: Food Securities Fund Accountable Cocoa and Coffee Tranche (FSF ACCT),https://app.climatepolicyradar.org/documents/gender-assessment-for-fp293-food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_8803,https://cdn.climatepolicyradar.org/navigator/CIV/2026/food-securities-fund-accountable-cocoa-and-coffee-tranche-fsf-acct_c516fec4fce3cefe207f57cfdb70599c.pdf,Gender assessment,n/a,CIV;CRI;DOM;ECU;GHA;GTM;NGA;PER;RWA;UGA,MCF,English,GCF
,,National Wetland Strategic Plan 2026-2036,"<p>The strategic plan guides the long-term management of Uganda's wetland resources, securing and enhancing their role in supporting livelihoods, biodiversity, ecosystem services and carbon storage. It supports the Vision 2040 goal to achieve/maintain 13% of the land surface area as wetland by 2040, and acts at the national, subnational and community level to ensure integrated awareness, effective governance and enforcement of sustainable wetland management. The plan seeks to mobilise both local and international finance, and develop natural capital accounts through mapping and inventory research.</p>",2026-02-18T00:00:00+00:00,https://app.climatepolicyradar.org/document/national-wetland-strategic-plan-2026-2036_c41a,National Wetland Strategic Plan 2026-2036,https://app.climatepolicyradar.org/documents/national-wetland-strategic-plan-2026-2036_9287,https://cdn.climatepolicyradar.org/navigator/UGA/2026/national-wetland-strategic-plan-2026-2036_91bbcae5b22ac00c219068c2df0113b6.pdf,Plan,n/a,UGA,Executive,English,CCLW
