DOCUMENT_ID,DOCUMENT_NAME,FAMILY_ID,DOCUMENT_SLUG,FAMILY_SUMMARY,TEXT_BLOCK_ID,PASSAGE_INDEX,TEXT_PASSAGE,PASSAGE_TYPE,LANGUAGE,TOPIC_LABELLERS,TOPIC_IDS,TOPIC_LABELLED_TEXTS
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b22-7f01-8dfc-5f582a5caa10,0,STATUTORY INSTRUMENTS SUPPLEMENT No. 3,title,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b22-7f01-8dfc-5f65cfde12b9,1,"24th January, 2025",Text,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b22-7f01-8dfc-5f7ec4e6b995,2,"STATUTORY INSTRUMENTS SUPPLEMENT to The Uganda Gazette No. 6, Volume CXVIII, dated 24th January, 2025 Printed by UPPC, Entebbe, by Order of the Government.",title,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4d64-7191-87ab-5df5c39e27fe,3,STATUTORY INSTRUMENTS 2025 No. 9,Text,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b22-7f01-8dfc-5fac49be506d,4,"THE NATIONAL CLIMATE CHANGE (CLIMATE CHANGE MECHANISMS) REGULATIONS, 2025 ARRANGEMENT OF REGULATIONS",sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b22-7f01-8dfc-5fb34e109517,5,Regulations,Text,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4ca7-77f1-949b-1488f4c4122a,6,"1. Citation PART I-PRELIMINARY
2. Interpretation PART II- MEASUREMENT OF GREENHOUSE GAS EMISSIONS
3. Measurement of emissions PART III- REGISTRATION OF VERIFIERS
4. Registration of verifiers
5. Certificate of registration of verifier
6. Validity of certificate of registration of verifier
7. Revocation of certificate of registration of verifier
8. Renewal of certificate of registration of verifier PART IV - APPROVAL OF CLIMATE CHANGE MECHANISMS PROJECTS
9. Request to participate in climate change mechanisms",List,en,"[""KeywordClassifier(\""greenhouse gas\"")""]",Q218,GREENHOUSE GAS EMISSIONS
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4cf4-7f32-ac34-f6afd05f249e,7,"10.
Consideration of request to participate in climate change mechanisms
11.
Grant of letter of no objection
12.
Refusal to grant letter of no objection
13.
Validity of letter of no objection
14.
Cancellation of letter of no objection
15.
Progress report
16.
Extension of letter of no objection
17.
Application for approval of climate change mechanisms
18.
Benefit sharing plan
19.
Consideration of application for approval of climate change mechanisms project
20.
Grant of approval
21.
Refusal to grant approval
22.
Validity of approval
23.
Commencement of climate change mechanisms project
24.
Progress report of implementation of climate change mechanisms
25.
Monitoring report on project emissions reduction
26.
Cessation of climate change mechanisms project
27.
Cancellation of approval
28.
Transfer of approval
29.
Validation of climate change mechanisms
30.
Verification of climate change mechanisms project
31.
Issue of certified emissions reduction units
32.
Registration of certified emissions reduction units
33.
Use of certified emissions reduction units
34.
Ownership of emissions reduction units",Table,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4b3e-75f3-a056-0651cf85b2cb,8,PART V - TRANSFER OF CERTIFIED EMISSIONS REDUCTION UNITS,sectionHeading,en,,,
CCLW.document.i00005356.n0000,"The National Climate Change (Climate Change Mechanisms) Regulations, 2025",CCLW.family.i00005355.n0000,the-national-climate-change-climate-change-mechanisms-regulations-2025_4cae,"<p>The National Climate Change (Climate Change Mechanisms) Regulations, 2025 provide an administrative framework to operationalise national and international climate commitments in Uganda, following the legal framework given in the National Climate Change Act 2021. These regulations define the roles and sequential protocol for verifiers of emissions reduction units, as well as mechanisms projects and the operation of emissions trading.</p>",019cd993-4ca7-77f1-949b-14d94679d787,9,"35. Notification of transfer of certified emissions reduction units
36. Authorisation of domestic transfer of certified emissions reduction units
37. Authorisation of international transfer of verified emissions reduction units
38. Validity of authorisation
39. Cancellation of authorisation
40. Corresponding adjustment fee",List,en,"[""BertBasedClassifier(\""finance flow\"")""], [""KeywordClassifier(\""fees and charges\"")""]","Q1829, Q1277","35. Notification of transfer of certified emissions reduction units
36. Authorisation of domestic transfer of certified emissions reduction units
37. Authorisation of international transfer of verified emissions reduction units
38. Validity of authorisation
39. Cancellation of authorisation
40. Corresponding adjustment fee, fee"
